image,type,style,color,material,shape,details,room_type,price_range,prompt
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED0D60>,sofa,deco,gray,chenille,curved,split seat,lobby,premium,"Professional product photography of a deco gray sofa, made of chenille, curved shape, featuring split seat, lobby in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED0E90>,sofa,minimal,gray,polyester,serpentine,no armrests,outdoor,budget,"Professional product photography of a minimal gray sofa, made of polyester, serpentine shape, featuring no armrests, outdoor in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED0FC0>,sofa,organic,sage,tweed,tufted,corner piece,lobby,elite,"Professional product photography of a organic sage sofa, made of tweed, tufted shape, featuring corner piece, lobby in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED10F0>,sofa,modern,charcoal,wool,tiered,removable cushions,living,premium,"Professional product photography of a modern charcoal sofa, made of wool, tiered shape, featuring removable cushions, living in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED1220>,sofa,nordic,orange,cork,puffy,rolled arms,lounge,standard,"Professional product photography of a nordic orange sofa, made of cork, puffy shape, featuring rolled arms, lounge in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED1350>,sofa,baroque,ochre,denim,sectional,firm padding,office,elite,"Professional product photography of a baroque ochre sofa, made of denim, sectional shape, featuring firm padding, office in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED1480>,sofa,modern,blush,cork,modular,thin cushions,lobby,standard,"Professional product photography of a modern blush sofa, made of cork, modular shape, featuring thin cushions, lobby in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED15B0>,sofa,modern,mint,silk,nested,loose pillows,dining,budget,"Professional product photography of a modern mint sofa, made of silk, nested shape, featuring loose pillows, dining in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED16E0>,sofa,minimal,plum,mohair,sculptural,metal frame,lounge,luxury,"Professional product photography of a minimal plum sofa, made of mohair, sculptural shape, featuring metal frame, lounge in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED1810>,sofa,coastal,plum,polyester,serpentine,wooden legs,theater,budget,"Professional product photography of a coastal plum sofa, made of polyester, serpentine shape, featuring wooden legs, theater in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED1940>,sofa,classic,coral,polyester,nested,middle section,office,elite,"Professional product photography of a classic coral sofa, made of polyester, nested shape, featuring middle section, office in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED1A70>,sofa,industrial,taupe,velvet,sectional,tight back,theater,budget,"Professional product photography of a industrial taupe sofa, made of velvet, sectional shape, featuring tight back, theater in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED1BA0>,sofa,gothic,gray,velvet,puffy,rolled arms,office,luxury,"Professional product photography of a gothic gray sofa, made of velvet, puffy shape, featuring rolled arms, office in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED1CD0>,sofa,gothic,taupe,suede,linear,removable cushions,office,elite,"Professional product photography of a gothic taupe sofa, made of suede, linear shape, featuring removable cushions, office in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED1E00>,sofa,eclectic,olive,denim,tiered,firm padding,library,premium,"Professional product photography of a eclectic olive sofa, made of denim, tiered shape, featuring firm padding, library in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED1F30>,sofa,retro,navy,leather,circular,split seat,lobby,standard,"Professional product photography of a retro navy sofa, made of leather, circular shape, featuring split seat, lobby in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED2060>,sofa,retro,mint,wool,tufted,split seat,office,standard,"Professional product photography of a retro mint sofa, made of wool, tufted shape, featuring split seat, office in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED2190>,sofa,baroque,ivory,cork,linear,firm padding,lounge,standard,"Professional product photography of a baroque ivory sofa, made of cork, linear shape, featuring firm padding, lounge in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED22C0>,sofa,organic,sage,rush,floating,thin cushions,lounge,standard,"Professional product photography of a organic sage sofa, made of rush, floating shape, featuring thin cushions, lounge in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED23F0>,sofa,modern,ochre,chenille,convertible,Storage ottoman,lounge,standard,"Professional product photography of a modern ochre sofa, made of chenille, convertible shape, featuring Storage ottoman, lounge in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED2520>,sofa,eclectic,coral,silk,convertible,backrest cushions,office,standard,"Professional product photography of a eclectic coral sofa, made of silk, convertible shape, featuring backrest cushions, office in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED2650>,sofa,retro,charcoal,rush,convertible,flat arms,lobby,standard,"Professional product photography of a retro charcoal sofa, made of rush, convertible shape, featuring flat arms, lobby in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED2780>,sofa,retro,beige,leather,modular,metal base,library,luxury,"Professional product photography of a retro beige sofa, made of leather, modular shape, featuring metal base, library in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED28B0>,sofa,eclectic,beige,cork,sculptural,floor level,living,elite,"Professional product photography of a eclectic beige sofa, made of cork, sculptural shape, featuring floor level, living in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED29E0>,sofa,deco,taupe,cork,tufted,wide armrests,library,budget,"Professional product photography of a deco taupe sofa, made of cork, tufted shape, featuring wide armrests, library in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED2B10>,sofa,japanese,sage,canvas,modular,split back,lounge,standard,"Professional product photography of a japanese sage sofa, made of canvas, modular shape, featuring split back, lounge in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED2C40>,sofa,industrial,ivory,canvas,nested,tight back,lounge,luxury,"Professional product photography of a industrial ivory sofa, made of canvas, nested shape, featuring tight back, lounge in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED2D70>,sofa,classic,gray,wool,nested,high back,library,premium,"Professional product photography of a classic gray sofa, made of wool, nested shape, featuring high back, library in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED2EA0>,sofa,japanese,ochre,canvas,floating,low back,lobby,premium,"Professional product photography of a japanese ochre sofa, made of canvas, floating shape, featuring low back, lobby in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED2FD0>,sofa,gothic,ochre,wool,sectional,high back,outdoor,luxury,"Professional product photography of a gothic ochre sofa, made of wool, sectional shape, featuring high back, outdoor in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED3100>,sofa,retro,coral,canvas,sectional,middle section,library,budget,"Professional product photography of a retro coral sofa, made of canvas, sectional shape, featuring middle section, library in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED3230>,sofa,industrial,beige,cork,nested,wooden legs,lounge,premium,"Professional product photography of a industrial beige sofa, made of cork, nested shape, featuring wooden legs, lounge in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED3360>,sofa,italian,terra,velvet,curved,corner piece,outdoor,budget,"Professional product photography of a italian terra sofa, made of velvet, curved shape, featuring corner piece, outdoor in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED3490>,sofa,nordic,plum,wool,sculptural,square arms,living,luxury,"Professional product photography of a nordic plum sofa, made of wool, sculptural shape, featuring square arms, living in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED35C0>,sofa,minimal,ochre,boucle,sculptural,flat arms,library,standard,"Professional product photography of a minimal ochre sofa, made of boucle, sculptural shape, featuring flat arms, library in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED36F0>,sofa,organic,coral,denim,sectional,rolled arms,lobby,standard,"Professional product photography of a organic coral sofa, made of denim, sectional shape, featuring rolled arms, lobby in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED3820>,sofa,deco,navy,rush,sculptural,backrest cushions,living,premium,"Professional product photography of a deco navy sofa, made of rush, sculptural shape, featuring backrest cushions, living in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED3950>,sofa,classic,coral,linen,tufted,high back,lounge,standard,"Professional product photography of a classic coral sofa, made of linen, tufted shape, featuring high back, lounge in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED3A80>,sofa,modern,beige,polyester,tiered,wide armrests,lobby,standard,"Professional product photography of a modern beige sofa, made of polyester, tiered shape, featuring wide armrests, lobby in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED3BB0>,sofa,japanese,ochre,silk,tufted,thin cushions,office,luxury,"Professional product photography of a japanese ochre sofa, made of silk, tufted shape, featuring thin cushions, office in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED3CE0>,sofa,italian,teal,canvas,linear,low back,lobby,premium,"Professional product photography of a italian teal sofa, made of canvas, linear shape, featuring low back, lobby in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBED3E10>,sofa,industrial,taupe,tweed,linear,thin cushions,lobby,elite,"Professional product photography of a industrial taupe sofa, made of tweed, linear shape, featuring thin cushions, lobby in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEC050>,sofa,minimal,taupe,polyester,nested,removable cushions,outdoor,budget,"Professional product photography of a minimal taupe sofa, made of polyester, nested shape, featuring removable cushions, outdoor in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEC180>,sofa,italian,ochre,mohair,puffy,floor level,library,elite,"Professional product photography of a italian ochre sofa, made of mohair, puffy shape, featuring floor level, library in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEC2B0>,sofa,industrial,terra,silk,convertible,removable cushions,dining,premium,"Professional product photography of a industrial terra sofa, made of silk, convertible shape, featuring removable cushions, dining in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEC3E0>,sofa,gothic,teal,tweed,tufted,curved corners,library,standard,"Professional product photography of a gothic teal sofa, made of tweed, tufted shape, featuring curved corners, library in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEC510>,sofa,japanese,coral,suede,asymmetric,floor level,lounge,budget,"Professional product photography of a japanese coral sofa, made of suede, asymmetric shape, featuring floor level, lounge in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEC640>,sofa,modern,terra,mohair,curved,bench seat,lounge,budget,"Professional product photography of a modern terra sofa, made of mohair, curved shape, featuring bench seat, lounge in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEC770>,sofa,baroque,charcoal,cork,floating,side pockets,office,premium,"Professional product photography of a baroque charcoal sofa, made of cork, floating shape, featuring side pockets, office in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEC8A0>,sofa,italian,gray,wool,circular,side pockets,lounge,luxury,"Professional product photography of a italian gray sofa, made of wool, circular shape, featuring side pockets, lounge in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEC9D0>,sofa,coastal,charcoal,linen,nested,flat arms,living,budget,"Professional product photography of a coastal charcoal sofa, made of linen, nested shape, featuring flat arms, living in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEECB00>,sofa,deco,ivory,leather,floating,loose pillows,living,elite,"Professional product photography of a deco ivory sofa, made of leather, floating shape, featuring loose pillows, living in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEECC30>,sofa,eclectic,ivory,leather,sectional,wide armrests,library,budget,"Professional product photography of a eclectic ivory sofa, made of leather, sectional shape, featuring wide armrests, library in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEECD60>,sofa,japanese,plum,cork,convertible,wooden legs,lobby,premium,"Professional product photography of a japanese plum sofa, made of cork, convertible shape, featuring wooden legs, lobby in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEECE90>,sofa,nordic,ivory,denim,tufted,fixed cushions,office,elite,"Professional product photography of a nordic ivory sofa, made of denim, tufted shape, featuring fixed cushions, office in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEECFC0>,sofa,organic,ivory,rush,convertible,rolled arms,lounge,elite,"Professional product photography of a organic ivory sofa, made of rush, convertible shape, featuring rolled arms, lounge in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEED0F0>,sofa,classic,sage,canvas,modular,no armrests,living,budget,"Professional product photography of a classic sage sofa, made of canvas, modular shape, featuring no armrests, living in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEED220>,sofa,minimal,blush,leather,modular,backrest cushions,library,standard,"Professional product photography of a minimal blush sofa, made of leather, modular shape, featuring backrest cushions, library in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEED350>,sofa,nordic,blush,wool,tufted,firm padding,theater,luxury,"Professional product photography of a nordic blush sofa, made of wool, tufted shape, featuring firm padding, theater in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEED480>,sofa,italian,ivory,suede,modular,middle section,library,elite,"Professional product photography of a italian ivory sofa, made of suede, modular shape, featuring middle section, library in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEED5B0>,sofa,retro,mint,tweed,curved,soft padding,office,luxury,"Professional product photography of a retro mint sofa, made of tweed, curved shape, featuring soft padding, office in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEED6E0>,sofa,classic,orange,wool,sectional,metal base,outdoor,elite,"Professional product photography of a classic orange sofa, made of wool, sectional shape, featuring metal base, outdoor in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEED810>,sofa,gothic,plum,chenille,linear,fixed cushions,dining,luxury,"Professional product photography of a gothic plum sofa, made of chenille, linear shape, featuring fixed cushions, dining in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEED940>,sofa,classic,orange,velvet,floating,side pockets,outdoor,luxury,"Professional product photography of a classic orange sofa, made of velvet, floating shape, featuring side pockets, outdoor in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEDA70>,sofa,deco,taupe,polyester,tufted,thick cushions,outdoor,standard,"Professional product photography of a deco taupe sofa, made of polyester, tufted shape, featuring thick cushions, outdoor in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEDBA0>,sofa,baroque,mint,mohair,convertible,square arms,dining,standard,"Professional product photography of a baroque mint sofa, made of mohair, convertible shape, featuring square arms, dining in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEDCD0>,sofa,nordic,terra,canvas,linear,soft padding,outdoor,luxury,"Professional product photography of a nordic terra sofa, made of canvas, linear shape, featuring soft padding, outdoor in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEDE00>,sofa,organic,navy,boucle,sectional,split seat,theater,luxury,"Professional product photography of a organic navy sofa, made of boucle, sectional shape, featuring split seat, theater in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEDF30>,sofa,deco,blush,cork,linear,thin cushions,theater,budget,"Professional product photography of a deco blush sofa, made of cork, linear shape, featuring thin cushions, theater in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEE060>,sofa,organic,olive,chenille,sectional,removable cushions,theater,elite,"Professional product photography of a organic olive sofa, made of chenille, sectional shape, featuring removable cushions, theater in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEE190>,sofa,japanese,mint,chenille,sectional,split seat,dining,standard,"Professional product photography of a japanese mint sofa, made of chenille, sectional shape, featuring split seat, dining in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEE2C0>,sofa,brutalist,orange,canvas,tufted,Storage ottoman,dining,premium,"Professional product photography of a brutalist orange sofa, made of canvas, tufted shape, featuring Storage ottoman, dining in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEE3F0>,sofa,industrial,orange,polyester,convertible,metal base,office,standard,"Professional product photography of a industrial orange sofa, made of polyester, convertible shape, featuring metal base, office in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEE520>,sofa,eclectic,olive,cork,circular,fixed cushions,office,luxury,"Professional product photography of a eclectic olive sofa, made of cork, circular shape, featuring fixed cushions, office in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEE650>,sofa,deco,sage,boucle,serpentine,split seat,office,premium,"Professional product photography of a deco sage sofa, made of boucle, serpentine shape, featuring split seat, office in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEE780>,sofa,baroque,blush,suede,asymmetric,wooden legs,living,premium,"Professional product photography of a baroque blush sofa, made of suede, asymmetric shape, featuring wooden legs, living in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEE8B0>,sofa,gothic,gray,polyester,serpentine,rolled arms,outdoor,premium,"Professional product photography of a gothic gray sofa, made of polyester, serpentine shape, featuring rolled arms, outdoor in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEE9E0>,sofa,italian,terra,tweed,nested,backrest cushions,office,budget,"Professional product photography of a italian terra sofa, made of tweed, nested shape, featuring backrest cushions, office in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEEB10>,sofa,modern,blush,cork,puffy,loose pillows,library,elite,"Professional product photography of a modern blush sofa, made of cork, puffy shape, featuring loose pillows, library in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEEC40>,sofa,baroque,coral,canvas,circular,soft padding,lounge,luxury,"Professional product photography of a baroque coral sofa, made of canvas, circular shape, featuring soft padding, lounge in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEED70>,sofa,brutalist,sage,suede,sculptural,thick cushions,lobby,premium,"Professional product photography of a brutalist sage sofa, made of suede, sculptural shape, featuring thick cushions, lobby in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
